No.,Bug ID,平台,状态,标题,分配给,最后修改日期,优先级
1,2813,1,active,【度假地】【统一下单】当订单包含双人套餐和其他门票时，无法成功下单,admin,2016-07-28 17:42:13,3
2,2461,3,active,【订单管理】【新订单处理】新订单处理页面订单实收金额和退款金额金额不正确,admin,2016-08-01 16:07:12,2
3,2457,3,active,【订单管理】【门票订单处理】未支付门票订单处理页面订单实收金额和退款金额应该是0,admin,2016-08-01 16:07:06,2
4,2399,1,active,【度假地】【度假地详情页】【景点详情】在景点详情页点击景点头图，页面不跳转,admin,2016-07-22 09:02:55,2
5,2722,1,active,【首页】【消息】新消息没有小红点提示反馈,admin,2016-08-01 15:25:49,3
6,1893,3,active,【产品信息配置】【目的地管理】【目的地详情】不能上传PNG 格式图片,caiyingying,2016-05-31 14:54:23,3
7,2876,2,active,【度假地】【度假地详情页】在华为A199上返现标签和景区现付标签显示为黑色底橘色字,cuikun,2016-08-16 18:52:03,2
8,2902,2,active,【我的】【消息】重复进入赞/评论/收藏列表导致软件崩溃,cuikun,2016-08-11 10:56:26,3
9,2890,2,active,【我的】【消息】未读消息提醒在退出登录后依然显示,cuikun,2016-08-05 15:12:58,3
10,2978,2,active,【我的】【我的订单】继续支付时，数量和总额显示不正确,cuikun,2016-08-29 11:44:40,2
11,2930,2,active,【度假地】【一日游详情页】在一日游产品飞鱼子宇宙一日游详情页面点击更多日期时导致景点游崩溃；,cuikun,2016-08-19 18:33:46,1
12,3087,2,active,【首页】【智导游】页面没有严格按照UI标注实现,cuikun,2016-09-13 16:18:43,3
13,3085,2,active,【首页】【智导游】子景点列表不能播放的子景点播放按钮图标偏大,cuikun,2016-09-04 16:02:10,3
14,2983,2,active,【约游】当用户的基本信息中“个性签名”达到15行，从13行以后的内容就无法显示出来了,cuikun,2016-08-29 11:05:00,4
15,3099,2,active,"[智导游][景点详情页]景点详情页面，导游录音播放完成后，点击”到这里去“，点击手机上的回退键试图退回到景典游App，会造成景典游App崩溃,使用手机Meizu MX2，三星SGHI317",cuikun,2016-09-09 08:30:25,3
16,3144,2,active,【Android】【我的】【登录】登录页面“记住密码”勾选框功能错误，登录页面中勾选“记住密码”进行登录，退出登录后密码未保存；未勾选记住密码登录，退出登录后密码被保存,cuikun,2016-09-13 15:27:09,3
17,2922,2,active,【消息】【评论的消息】无法查看其他用户详情,cuikun,2016-08-15 16:32:53,3
18,3154,2,active,【登录】登录后断开网络，软件崩溃,cuikun,2016-09-14 11:33:40,1
19,2912,2,active,【我的】【我的订单】当预定8月30日的“穿越氪星一日游“时，我的订单景点名称前出现“票种名称”字样,cuikun,2016-08-15 11:49:27,3
20,2966,2,active,[消息]使用华为MT7-TL00，从“消息”页面点击打开收到的私信时，景点游App 崩溃 ,cuikun,2016-08-29 15:16:58,1
